BI-Vital CA7F, STM_FW 2.0-23-g1ecdf25, NRF_FW 2.0, Config #437356607, Start Time 1970-01-01 00:00:09, Uptime 00:00:09, Global Update intervall 5 ms
Updatinterval [ms], 5, 100
Time [s], Heartrate [bpm], Button-press []
 198.685,  77,          
 199.465,  77,          
 200.225,  77,          
 200.970,  77,          
 201.710,  77,          
 202.470,  77,          
 203.235,  78,          
 203.985,  78,          
 204.725,  79,          
 205.465,  79,          
 206.205,  79,          
 206.920,  79,          
 207.630,  80,          
 208.350,  80,          
 209.115,  81,          
 209.920,  81,          
 210.730,  81,          
 211.555,  78,          
 212.385,  74,          
 213.165,  74,          
 213.945,  74,          
 214.690,  74,          
 215.400,  76,          
 216.095,  76,          
 216.780,  79,          
 217.460,  83,          
 218.160,  85,          
 218.880,  85,          
 219.625,  85,          
 220.420,  85,          
 221.250,  83,          
 222.070,  80,          
 222.870,  75,          
 223.620,  75,          
 224.355,  75,          
 225.105,  75,          
 225.845,  79,          
 226.565,  79,          
 227.310,  80,          
 228.060,  80,          
 228.810,  80,          
 229.550,  80,          
 230.320,  80,          
 231.120,  80,          
 231.920,  79,          
 232.720,  78,          
 233.530,  75,          
 234.315,  75,          
 235.060,  75,          
 235.775,  75,          
 236.470,  75,          
 237.135,  79,          
 237.795,  83,          
 238.465,  85,          
 239.165,  88,          
 239.940,  88,          
 240.740,  88,          
 241.565,  86,          
 242.375,  78,          
 243.190,  74,          
 243.950,  74,          
 244.690,  74,          
 245.420,  74,          
 246.130,  77,          
 246.815,  80,          
 247.480,  81,          
 248.135,  83,          
 248.790,  87,          
 249.470,  89,          
 250.190,  89,          
 250.945,  89,          
 251.705,  88,          
 252.445,  83,          
 253.185,  80,          
 253.930,  80,          
 254.685,  80,          
 255.445,  80,          
 256.190,  80,          
 256.935,  80,          
 257.720,  80,          
 258.550,  79,          
 259.360,  78,          
 260.195,  76,          
 261.025,  74,          
 261.850,  72,          
 262.665,  72,          
 263.435,  72,          
 264.225,  72,          
 265.020,  72,          
 265.790,  74,          
 266.550,  75,          
 267.290,  76,          
 268.030,  76,          
 268.740,  78,          
 269.455,  79,          
 270.175,  80,          
 270.880,  82,          
 271.575,  82,          
 272.305,  83,          
 273.080,  83,          
 273.850,  83,          
 274.620,  82,          
 275.390,  78,          
 276.140,  77,          
 276.885,  77,          
 277.665,  77,          
 278.435,  77,          
 279.180,  77,          
 279.920,  79,          
 280.655,  79,          
 281.390,  79,          
 282.125,  80,          
 282.885,  80,          
 283.680,  80,          
 284.500,  80,          
 285.330,  79,          
 286.125,  75,          
 286.920,  75,          
 287.705,  75,          
 288.480,  75,          
 289.245,  75,          
 290.030,  75,          
 290.825,  75,          
